element_id,tag_name,control_selector,text_content,id_attr,class_attr,href_attr,src_attr,all_attributes_json
1,html,html,"Chat | Google AI Studio Google AI Studio uses cookies from Google to deliver and enhance the quality of its services and to analyze traffic. Learn more . OK, got it Skip to main content mark_chat_unread Chat graphic_eq Stream mms Generate Media extension Build history History add_to_drive Enable saving Studio mark_chat_unread Chat graphic_eq Stream mms Generate Media extension Build history History add_to_drive Enable saving Dashboard key API Keys bar_chart Usage & Billing view_agenda Changelog open_in_new Documentation open_in_new Google AI models may make mistakes, so double-check outputs. key Get API key mhialdenmostafa@gmail.com expand_less menu Gemini 2.5 Pro edit_square tune key Get API key Studio Dashboard Documentation open_in_new settings Chat Prompt assignment code share save compare_arrows refresh more_vert Generate a high school revision guide on quantum computing keyboard_tab add_circle Run Ctrl keyboard_return What's new URL context tool Fetch information from web links Native speech generation Generate high quality text to speech with Gemini Live audio-to-audio dialog Try Gemini's natural, real-time dialog with audio and video inputs Native image generation Interleaved text-and-image generation with Gemini 2.0 Flash Run settings reset_settings close Gemini 2.5 Pro Token count 0 / 1,048,576 Temperature Media Resolution Default Thinking Thinking mode Set thinking budget expand_more Tools Structured output Edit Code execution Function calling Edit Grounding with Google Search Source: Google Search URL context expand_more Advanced settings tune gallery_thumbnail Light theme Dark theme System theme Insert an image to add it to your prompt Select or upload a file on Google Drive to include in your prompt Upload a file to Google Drive to include in your prompt Insert assets such as images, videos, folders, files, or audio Run prompt Higher resolutions may provide better understanding but use more tokens. Let the model decide how many thinking tokens to use or choose your own value Unable to disable thinking mode for this model. Generate structured output

 This tool is not compatible with the current active tools. Lets Gemini use code to solve complex tasks Lets you define functions that Gemini can call

 This tool is not compatible with the current active tools. Use Google Search Browse the url context Creativity allowed in the responses System Instructions Get SDK code to chat with Gemini You need to create and run a prompt in order to share it No changes to save Compare mode",,,,,"{""lang"": ""en-US"", ""dir"": ""ltr""}"
2,head,head,Chat | Google AI Studio,,,,,{}
3,base,base,,,,https://aistudio.google.com/,,"{""href"": ""https://aistudio.google.com/""}"
4,link,link,,,,//www.gstatic.com,,"{""rel"": [""preconnect""], ""href"": ""//www.gstatic.com""}"
5,meta,meta,,,,,,"{""name"": ""referrer"", ""content"": ""origin""}"
6,link,link,,,,https://aistudio.google.com/prompts/new_chat,,"{""rel"": [""canonical""], ""href"": ""https://aistudio.google.com/prompts/new_chat""}"
7,meta,meta,,,,,,"{""name"": ""viewport"", ""content"": ""width=device-width, initial-scale=1""}"
8,meta,meta,,,,,,"{""name"": ""description"", ""content"": ""The fastest path from prompt to production with Gemini""}"
9,meta,meta,,,,,,"{""property"": ""og:url"", ""content"": ""https://aistudio.google.com/""}"
10,meta,meta,,,,,,"{""property"": ""og:type"", ""content"": ""website""}"
11,meta,meta,,,,,,"{""property"": ""og:title"", ""content"": ""Google AI Studio""}"
12,meta,meta,,,,,,"{""property"": ""og:description"", ""content"": ""The fastest path from prompt to production with Gemini""}"
13,meta,meta,,,,,,"{""property"": ""og:image"", ""content"": ""https://ai.google.dev/static/site-assets/images/share-ais-03.png""}"
14,meta,meta,,,,,,"{""name"": ""mobile-web-app-capable"", ""content"": ""yes""}"
15,meta,meta,,,,,,"{""name"": ""apple-mobile-web-app-capable"", ""content"": ""yes""}"
16,meta,meta,,,,,,"{""name"": ""application-name"", ""content"": ""AI Studio""}"
17,meta,meta,,,,,,"{""name"": ""apple-mobile-web-app-title"", ""content"": ""AI Studio""}"
18,meta,meta,,,,,,"{""name"": ""apple-mobile-web-app-status-bar-style"", ""content"": ""default""}"
19,meta,meta,,,,,,"{""name"": ""theme-color"", ""content"": ""#000""}"
20,meta,meta,,,,,,"{""name"": ""msapplication-tap-highlight"", ""content"": ""no""}"
21,link,link,,,,//fonts.googleapis.com,,"{""rel"": [""preconnect""], ""href"": ""//fonts.googleapis.com""}"
22,link,link,,,,//fonts.gstatic.com,,"{""rel"": [""preconnect""], ""href"": ""//fonts.gstatic.com""}"
23,link,link,,,,//www.gstatic.com,,"{""rel"": [""preconnect""], ""href"": ""//www.gstatic.com""}"
24,link,link,,,,//alkalimakersuite-pa.clients6.google.com,,"{""rel"": [""preconnect""], ""href"": ""//alkalimakersuite-pa.clients6.google.com""}"
25,link,link,,,,//apis.google.com/js/api.js,,"{""rel"": [""prefetch""], ""href"": ""//apis.google.com/js/api.js""}"
